DNA-23401-CG001Qv42Run232-4_S4.CG001v3.4.3	max number of variants:22
DNA-23464-CG001Qv42Run232-17_S17.CG001v3.4.111	max number of variants:6
DNA-23464-CG001Qv42Run232-17_S17.CG001v3.4.122	max number of variants:6
DNA-23464-CG001Qv42Run232-17_S17.CG001v3.4.130	no normalized_alignment
DNA-23464-CG001Qv42Run232-17_S17.CG001v3.4.130	no variant
DNA-23464-CG001Qv42Run232-17_S17.CG001v4.0.8	max number of variants:7
DNA-23464-CG001Qv42Run232-17_S17.CG001v4.0.11	average number of variants:1.86
DNA-23464-CG001Qv42Run232-17_S17.CG001v4.0.20	average number of variants:1.51
DNA-23464-CG001Qv42Run232-17_S17.CG001v4.0.25	max number of variants:8
DNA-23464-CG001Qv42Run232-17_S17.CG001v4.0.34	max number of variants:6
DNA-23464-CG001Qv42Run232-17_S17.CG001v4.0.34	average number of variants:1.66
DNA-23464-CG001Qv42Run232-17_S17.CG001v4.0.40	max number of variants:11
DNA-23464-CG001Qv42Run232-17_S17.CG001v4.0.49	max number of variants:6
DNA-23464-CG001Qv42Run232-17_S17.CG001v4.0.50	average number of variants:1.6
DNA-23464-CG001Qv42Run232-17_S17.CG001v4.0.53	average number of variants:1.54
DNA-23464-CG001Qv42Run232-17_S17.CG001v4.0.59	average number of variants:1.59
DNA-23464-CG001Qv42Run232-17_S17.CG001v3.4.56	max number of variants:7
DNA-23465-CG001Qv42Run232-19_S19.CG001v3.4.5	max number of variants:6
DNA-23465-CG001Qv42Run232-19_S19.CG001v3.4.9	max number of variants:6
DNA-23465-CG001Qv42Run232-19_S19.CG001v3.4.22	max number of variants:6
DNA-23465-CG001Qv42Run232-19_S19.CG001v3.4.25	max number of variants:8
DNA-23465-CG001Qv42Run232-19_S19.CG001v3.4.50	max number of variants:8
DNA-23465-CG001Qv42Run232-19_S19.CG001v3.4.103	average number of variants:1.53
DNA-23465-CG001Qv42Run232-19_S19.CG001v3.4.105	max number of variants:42
DNA-23465-CG001Qv42Run232-19_S19.CG001v3.4.105	average number of variants:4.4
DNA-23465-CG001Qv42Run232-19_S19.CG001v3.4.111	max number of variants:9
DNA-23465-CG001Qv42Run232-19_S19.CG001v3.4.118	max number of variants:6
DNA-23465-CG001Qv42Run232-19_S19.CG001v3.4.122	max number of variants:6
DNA-23465-CG001Qv42Run232-19_S19.CG001v3.4.130	no normalized_alignment
DNA-23465-CG001Qv42Run232-19_S19.CG001v3.4.130	no variant
DNA-23465-CG001Qv42Run232-19_S19.CG001v4.0.8	max number of variants:9
DNA-23465-CG001Qv42Run232-19_S19.CG001v4.0.11	max number of variants:7
DNA-23465-CG001Qv42Run232-19_S19.CG001v4.0.11	average number of variants:1.83
DNA-23465-CG001Qv42Run232-19_S19.CG001v4.0.34	max number of variants:7
DNA-23465-CG001Qv42Run232-19_S19.CG001v4.0.35	max number of variants:9
DNA-23465-CG001Qv42Run232-19_S19.CG001v4.0.35	average number of variants:1.61
DNA-23465-CG001Qv42Run232-19_S19.CG001v4.0.38	max number of variants:6
DNA-23465-CG001Qv42Run232-19_S19.CG001v4.0.40	max number of variants:10
DNA-23465-CG001Qv42Run232-19_S19.CG001v4.0.45	max number of variants:8
DNA-23465-CG001Qv42Run232-19_S19.CG001v4.0.48	max number of variants:6
DNA-23465-CG001Qv42Run232-19_S19.CG001v4.0.49	max number of variants:7
DNA-23465-CG001Qv42Run232-19_S19.CG001v4.0.50	average number of variants:1.58
DNA-23465-CG001Qv42Run232-19_S19.CG001v4.0.51	max number of variants:6
DNA-23465-CG001Qv42Run232-19_S19.CG001v4.0.51	average number of variants:1.55
DNA-23465-CG001Qv42Run232-19_S19.CG001v4.0.53	average number of variants:1.61
DNA-23465-CG001Qv42Run232-19_S19.CG001v4.0.55	average number of variants:1.56
DNA-23465-CG001Qv42Run232-19_S19.CG001v4.0.58	average number of variants:1.52
DNA-23465-CG001Qv42Run232-19_S19.CG001v3.4.56	max number of variants:7
DNA-23550-CG001Qv42Run232-18_S18.CG001v3.4.5	max number of variants:8
DNA-23550-CG001Qv42Run232-18_S18.CG001v3.4.25	max number of variants:7
DNA-23550-CG001Qv42Run232-18_S18.CG001v3.4.41	max number of variants:6
DNA-23550-CG001Qv42Run232-18_S18.CG001v3.4.43	max number of variants:9
DNA-23550-CG001Qv42Run232-18_S18.CG001v3.4.73	max number of variants:6
DNA-23550-CG001Qv42Run232-18_S18.CG001v3.4.89	max number of variants:6
DNA-23550-CG001Qv42Run232-18_S18.CG001v3.4.91	max number of variants:6
DNA-23550-CG001Qv42Run232-18_S18.CG001v3.4.92	max number of variants:6
DNA-23550-CG001Qv42Run232-18_S18.CG001v3.4.98	max number of variants:7
DNA-23550-CG001Qv42Run232-18_S18.CG001v3.4.105	max number of variants:42
DNA-23550-CG001Qv42Run232-18_S18.CG001v3.4.105	average number of variants:3.3
DNA-23550-CG001Qv42Run232-18_S18.CG001v3.4.106	max number of variants:8
DNA-23550-CG001Qv42Run232-18_S18.CG001v3.4.130	no normalized_alignment
DNA-23550-CG001Qv42Run232-18_S18.CG001v3.4.130	no variant
DNA-23550-CG001Qv42Run232-18_S18.CG001v4.0.8	max number of variants:7
DNA-23550-CG001Qv42Run232-18_S18.CG001v4.0.11	max number of variants:6
DNA-23550-CG001Qv42Run232-18_S18.CG001v4.0.11	average number of variants:1.77
DNA-23550-CG001Qv42Run232-18_S18.CG001v4.0.14	max number of variants:7
DNA-23550-CG001Qv42Run232-18_S18.CG001v4.0.34	average number of variants:1.6
DNA-23550-CG001Qv42Run232-18_S18.CG001v4.0.38	max number of variants:6
DNA-23550-CG001Qv42Run232-18_S18.CG001v4.0.40	max number of variants:9
DNA-23550-CG001Qv42Run232-18_S18.CG001v4.0.45	max number of variants:6
DNA-23550-CG001Qv42Run232-18_S18.CG001v4.0.50	average number of variants:1.58
DNA-23550-CG001Qv42Run232-18_S18.CG001v4.0.53	average number of variants:1.52
DNA-23550-CG001Qv42Run232-18_S18.CG001v4.0.58	average number of variants:1.51
DNA-23551-CG001Qv42Run232-20_S20.CG001v3.4.4	max number of variants:7
DNA-23551-CG001Qv42Run232-20_S20.CG001v3.4.5	max number of variants:6
DNA-23551-CG001Qv42Run232-20_S20.CG001v3.4.43	max number of variants:6
DNA-23551-CG001Qv42Run232-20_S20.CG001v3.4.59	max number of variants:13
DNA-23551-CG001Qv42Run232-20_S20.CG001v3.4.89	max number of variants:6
DNA-23551-CG001Qv42Run232-20_S20.CG001v3.4.91	max number of variants:6
DNA-23551-CG001Qv42Run232-20_S20.CG001v3.4.96	max number of variants:6
DNA-23551-CG001Qv42Run232-20_S20.CG001v3.4.102	max number of variants:7
DNA-23551-CG001Qv42Run232-20_S20.CG001v3.4.103	max number of variants:7
DNA-23551-CG001Qv42Run232-20_S20.CG001v3.4.103	average number of variants:1.55
DNA-23551-CG001Qv42Run232-20_S20.CG001v3.4.105	max number of variants:42
DNA-23551-CG001Qv42Run232-20_S20.CG001v3.4.105	average number of variants:4.11
DNA-23551-CG001Qv42Run232-20_S20.CG001v3.4.111	max number of variants:13
DNA-23551-CG001Qv42Run232-20_S20.CG001v3.4.125	average number of variants:1.53
DNA-23551-CG001Qv42Run232-20_S20.CG001v3.4.130	no normalized_alignment
DNA-23551-CG001Qv42Run232-20_S20.CG001v3.4.130	no variant
DNA-23551-CG001Qv42Run232-20_S20.CG001v3.4.135	max number of variants:9
DNA-23551-CG001Qv42Run232-20_S20.CG001v3.4.143	max number of variants:6
DNA-23551-CG001Qv42Run232-20_S20.CG001v4.0.11	max number of variants:16
DNA-23551-CG001Qv42Run232-20_S20.CG001v4.0.11	average number of variants:1.91
DNA-23551-CG001Qv42Run232-20_S20.CG001v4.0.34	max number of variants:7
DNA-23551-CG001Qv42Run232-20_S20.CG001v4.0.35	max number of variants:7
DNA-23551-CG001Qv42Run232-20_S20.CG001v4.0.40	max number of variants:10
DNA-23551-CG001Qv42Run232-20_S20.CG001v4.0.45	max number of variants:7
DNA-23551-CG001Qv42Run232-20_S20.CG001v4.0.51	average number of variants:1.96
DNA-23552-CG001Qv42Run232-21_S21.CG001v3.4.5	max number of variants:7
DNA-23552-CG001Qv42Run232-21_S21.CG001v3.4.22	max number of variants:6
DNA-23552-CG001Qv42Run232-21_S21.CG001v3.4.54	max number of variants:6
DNA-23552-CG001Qv42Run232-21_S21.CG001v3.4.75	max number of variants:7
DNA-23552-CG001Qv42Run232-21_S21.CG001v3.4.89	max number of variants:6
DNA-23552-CG001Qv42Run232-21_S21.CG001v3.4.91	max number of variants:6
DNA-23552-CG001Qv42Run232-21_S21.CG001v3.4.102	max number of variants:8
DNA-23552-CG001Qv42Run232-21_S21.CG001v3.4.103	max number of variants:6
DNA-23552-CG001Qv42Run232-21_S21.CG001v3.4.103	average number of variants:1.55
DNA-23552-CG001Qv42Run232-21_S21.CG001v3.4.105	max number of variants:42
DNA-23552-CG001Qv42Run232-21_S21.CG001v3.4.105	average number of variants:3.22
DNA-23552-CG001Qv42Run232-21_S21.CG001v3.4.111	max number of variants:6
DNA-23552-CG001Qv42Run232-21_S21.CG001v3.4.122	max number of variants:6
DNA-23552-CG001Qv42Run232-21_S21.CG001v3.4.130	no normalized_alignment
DNA-23552-CG001Qv42Run232-21_S21.CG001v3.4.130	no variant
DNA-23552-CG001Qv42Run232-21_S21.CG001v4.0.11	max number of variants:7
DNA-23552-CG001Qv42Run232-21_S21.CG001v4.0.11	average number of variants:1.87
DNA-23552-CG001Qv42Run232-21_S21.CG001v4.0.27	max number of variants:6
DNA-23552-CG001Qv42Run232-21_S21.CG001v4.0.34	max number of variants:9
DNA-23552-CG001Qv42Run232-21_S21.CG001v4.0.34	average number of variants:1.51
DNA-23552-CG001Qv42Run232-21_S21.CG001v4.0.40	max number of variants:9
DNA-23552-CG001Qv42Run232-21_S21.CG001v4.0.57	average number of variants:2.07
DNA-23552-CG001Qv42Run232-21_S21.CG001v4.0.1	max number of variants:7
DNA-23553-CG001Qv42Run232-22_S22.CG001v3.4.5	max number of variants:8
DNA-23553-CG001Qv42Run232-22_S22.CG001v3.4.22	max number of variants:6
DNA-23553-CG001Qv42Run232-22_S22.CG001v3.4.89	max number of variants:6
DNA-23553-CG001Qv42Run232-22_S22.CG001v3.4.96	max number of variants:6
DNA-23553-CG001Qv42Run232-22_S22.CG001v3.4.103	average number of variants:1.56
DNA-23553-CG001Qv42Run232-22_S22.CG001v3.4.105	max number of variants:42
DNA-23553-CG001Qv42Run232-22_S22.CG001v3.4.105	average number of variants:2.04
DNA-23553-CG001Qv42Run232-22_S22.CG001v3.4.110	max number of variants:7
DNA-23553-CG001Qv42Run232-22_S22.CG001v3.4.111	max number of variants:6
DNA-23553-CG001Qv42Run232-22_S22.CG001v3.4.125	average number of variants:1.51
DNA-23553-CG001Qv42Run232-22_S22.CG001v3.4.130	no normalized_alignment
DNA-23553-CG001Qv42Run232-22_S22.CG001v3.4.130	no variant
DNA-23553-CG001Qv42Run232-22_S22.CG001v4.0.7	max number of variants:6
DNA-23553-CG001Qv42Run232-22_S22.CG001v4.0.8	max number of variants:7
DNA-23553-CG001Qv42Run232-22_S22.CG001v4.0.11	max number of variants:7
DNA-23553-CG001Qv42Run232-22_S22.CG001v4.0.11	average number of variants:1.82
DNA-23553-CG001Qv42Run232-22_S22.CG001v4.0.31	max number of variants:6
DNA-23553-CG001Qv42Run232-22_S22.CG001v4.0.35	max normalized_alignments:11
DNA-23553-CG001Qv42Run232-22_S22.CG001v4.0.35	max number of variants:8
DNA-23553-CG001Qv42Run232-22_S22.CG001v4.0.40	max number of variants:8
DNA-23553-CG001Qv42Run232-22_S22.CG001v4.0.44	average number of variants:1.53
DNA-23553-CG001Qv42Run232-22_S22.CG001v4.0.45	max number of variants:7
DNA-23553-CG001Qv42Run232-22_S22.CG001v3.4.56	max number of variants:6
DNA-23554-CG001Qv42Run232-23_S23.CG001v3.4.26	max number of variants:37
DNA-23554-CG001Qv42Run232-23_S23.CG001v3.4.26	average number of variants:2.18
DNA-23554-CG001Qv42Run232-23_S23.CG001v3.4.105	max number of variants:42
DNA-23554-CG001Qv42Run232-23_S23.CG001v3.4.105	average number of variants:1.76
DNA-23554-CG001Qv42Run232-23_S23.CG001v3.4.106	max number of variants:6
DNA-23554-CG001Qv42Run232-23_S23.CG001v3.4.110	max number of variants:7
DNA-23554-CG001Qv42Run232-23_S23.CG001v3.4.111	max number of variants:6
DNA-23554-CG001Qv42Run232-23_S23.CG001v3.4.125	average number of variants:1.62
DNA-23554-CG001Qv42Run232-23_S23.CG001v3.4.130	no normalized_alignment
DNA-23554-CG001Qv42Run232-23_S23.CG001v3.4.130	no variant
DNA-23554-CG001Qv42Run232-23_S23.CG001v3.4.138	max number of variants:8
DNA-23554-CG001Qv42Run232-23_S23.CG001v4.0.7	max number of variants:6
DNA-23554-CG001Qv42Run232-23_S23.CG001v4.0.8	max number of variants:7
DNA-23554-CG001Qv42Run232-23_S23.CG001v4.0.11	max number of variants:6
DNA-23554-CG001Qv42Run232-23_S23.CG001v4.0.25	max number of variants:6
DNA-23554-CG001Qv42Run232-23_S23.CG001v4.0.34	max number of variants:8
DNA-23554-CG001Qv42Run232-23_S23.CG001v4.0.34	average number of variants:1.6
DNA-23554-CG001Qv42Run232-23_S23.CG001v4.0.35	max number of variants:8
DNA-23554-CG001Qv42Run232-23_S23.CG001v4.0.40	max number of variants:8
DNA-23554-CG001Qv42Run232-23_S23.CG001v4.0.45	max number of variants:6
DNA-23554-CG001Qv42Run232-23_S23.CG001v4.0.50	average number of variants:1.54
DNA-23554-CG001Qv42Run232-23_S23.CG001v4.0.51	average number of variants:1.52
DNA-23554-CG001Qv42Run232-23_S23.CG001v4.0.57	max number of variants:6
DNA-23555-CG001Qv42Run232-24_S24.CG001v3.4.7	max number of variants:6
DNA-23555-CG001Qv42Run232-24_S24.CG001v3.4.22	average number of variants:1.51
DNA-23555-CG001Qv42Run232-24_S24.CG001v3.4.89	max number of variants:6
DNA-23555-CG001Qv42Run232-24_S24.CG001v3.4.91	max number of variants:6
DNA-23555-CG001Qv42Run232-24_S24.CG001v3.4.96	max number of variants:6
DNA-23555-CG001Qv42Run232-24_S24.CG001v3.4.102	max number of variants:8
DNA-23555-CG001Qv42Run232-24_S24.CG001v3.4.103	max number of variants:6
DNA-23555-CG001Qv42Run232-24_S24.CG001v3.4.105	max normalized_alignments:48
DNA-23555-CG001Qv42Run232-24_S24.CG001v3.4.105	max number of variants:42
DNA-23555-CG001Qv42Run232-24_S24.CG001v3.4.105	average number of variants:4.8
DNA-23555-CG001Qv42Run232-24_S24.CG001v3.4.111	max number of variants:6
DNA-23555-CG001Qv42Run232-24_S24.CG001v3.4.125	average number of variants:1.55
DNA-23555-CG001Qv42Run232-24_S24.CG001v3.4.130	max normalized_alignments:20
DNA-23555-CG001Qv42Run232-24_S24.CG001v3.4.130	average normalized_alignments:13.75
DNA-23555-CG001Qv42Run232-24_S24.CG001v3.4.130	max number of variants:19
DNA-23555-CG001Qv42Run232-24_S24.CG001v3.4.130	average number of variants:14.4
DNA-23555-CG001Qv42Run232-24_S24.CG001v4.0.34	max number of variants:7
DNA-23555-CG001Qv42Run232-24_S24.CG001v4.0.35	average number of variants:1.58
DNA-23555-CG001Qv42Run232-24_S24.CG001v4.0.40	max number of variants:8
DNA-23555-CG001Qv42Run232-24_S24.CG001v4.0.45	max number of variants:6
DNA-23555-CG001Qv42Run232-24_S24.CG001v4.0.50	average number of variants:1.51
DNA-23555-CG001Qv42Run232-24_S24.CG001v4.0.53	average number of variants:1.57
NF-CG001Qv42Run232-3_S3.CG001v3.4.5	max number of variants:6
NF-CG001Qv42Run232-3_S3.CG001v3.4.91	max normalized_alignments:24
NF-CG001Qv42Run232-3_S3.CG001v3.4.91	max number of variants:33
NF-CG001Qv42Run232-3_S3.CG001v3.4.91	average number of variants:3.26
NF-CG001Qv42Run232-3_S3.CG001v3.4.94	average number of variants:1.58
NF-CG001Qv42Run232-3_S3.CG001v3.4.103	average number of variants:1.54
NF-CG001Qv42Run232-3_S3.CG001v3.4.105	max normalized_alignments:42
NF-CG001Qv42Run232-3_S3.CG001v3.4.105	average normalized_alignments:1.155
NF-CG001Qv42Run232-3_S3.CG001v3.4.105	max number of variants:45
NF-CG001Qv42Run232-3_S3.CG001v3.4.105	average number of variants:9.83
NF-CG001Qv42Run232-3_S3.CG001v3.4.110	max number of variants:6
NF-CG001Qv42Run232-3_S3.CG001v3.4.130	no normalized_alignment
NF-CG001Qv42Run232-3_S3.CG001v3.4.130	no variant
NF-CG001Qv42Run232-3_S3.CG001v4.0.7	max number of variants:6
NF-CG001Qv42Run232-3_S3.CG001v4.0.8	max number of variants:6
NF-CG001Qv42Run232-3_S3.CG001v4.0.11	max number of variants:11
NF-CG001Qv42Run232-3_S3.CG001v4.0.11	average number of variants:1.91
NF-CG001Qv42Run232-3_S3.CG001v4.0.20	average number of variants:1.51
NF-CG001Qv42Run232-3_S3.CG001v4.0.34	average number of variants:1.51
NF-CG001Qv42Run232-3_S3.CG001v4.0.35	max number of variants:6
NF-CG001Qv42Run232-3_S3.CG001v4.0.40	max number of variants:7
NF-CG001Qv42Run232-3_S3.CG001v4.0.45	max number of variants:6
NF-CG001Qv42Run232-3_S3.CG001v4.0.50	average number of variants:1.52
NF-CG001Qv42Run232-3_S3.CG001v4.0.53	average number of variants:1.55
NF-CG001Qv42Run232-3_S3.CG001v4.0.58	average number of variants:1.55
NF-CG001Qv42Run232-3_S3.CG001v4.0.59	average number of variants:1.53
NF-CG001Qv42Run232-3_S3.CG001v3.4.56	max number of variants:6
NF-CG001Qv42Run232-3_S3.CG001v4.0.1	max number of variants:6
QMRS-CG001Qv42Run232-2_S2.CG001v3.4.3	max number of variants:24
QMRS-CG001Qv42Run232-2_S2.CG001v3.4.3	average number of variants:1.71
QMRS-CG001Qv42Run232-2_S2.CG001v3.4.25	max number of variants:9
QMRS-CG001Qv42Run232-2_S2.CG001v3.4.43	max number of variants:6
QMRS-CG001Qv42Run232-2_S2.CG001v3.4.50	max number of variants:8
QMRS-CG001Qv42Run232-2_S2.CG001v3.4.54	max number of variants:8
QMRS-CG001Qv42Run232-2_S2.CG001v3.4.102	max number of variants:38
QMRS-CG001Qv42Run232-2_S2.CG001v3.4.102	average number of variants:1.83
QMRS-CG001Qv42Run232-2_S2.CG001v3.4.103	max number of variants:6
QMRS-CG001Qv42Run232-2_S2.CG001v3.4.103	average number of variants:1.52
QMRS-CG001Qv42Run232-2_S2.CG001v3.4.105	max normalized_alignments:30
QMRS-CG001Qv42Run232-2_S2.CG001v3.4.105	average normalized_alignments:1.136
QMRS-CG001Qv42Run232-2_S2.CG001v3.4.105	max number of variants:45
QMRS-CG001Qv42Run232-2_S2.CG001v3.4.105	average number of variants:9.48
QMRS-CG001Qv42Run232-2_S2.CG001v3.4.111	max number of variants:9
QMRS-CG001Qv42Run232-2_S2.CG001v3.4.122	max number of variants:6
QMRS-CG001Qv42Run232-2_S2.CG001v3.4.130	no normalized_alignment
QMRS-CG001Qv42Run232-2_S2.CG001v3.4.130	no variant
QMRS-CG001Qv42Run232-2_S2.CG001v4.0.8	max number of variants:6
QMRS-CG001Qv42Run232-2_S2.CG001v4.0.11	max number of variants:11
QMRS-CG001Qv42Run232-2_S2.CG001v4.0.11	average number of variants:1.85
QMRS-CG001Qv42Run232-2_S2.CG001v4.0.34	max normalized_alignments:19
QMRS-CG001Qv42Run232-2_S2.CG001v4.0.40	max number of variants:8
QMRS-CG001Qv42Run232-2_S2.CG001v4.0.45	max number of variants:6
QMRS-CG001Qv42Run232-2_S2.CG001v4.0.48	max number of variants:7
QMRS-CG001Qv42Run232-2_S2.CG001v4.0.57	average number of variants:1.52
QMRS-CG001Qv42Run232-2_S2.CG001v3.4.56	max number of variants:6
